title,original_price,sale_price,upper,ground,len_score,foot_score,weight(g),image_url,url,silo_x,brand,silo_y,silo_kor,position1,position2,position3,feature
미즈노 모나르시다 네오 셀렉트 III MD ,99000,73000,"인조가죽, 합성가죽","천연잔디, 인조잔디, 맨땅",3.0,2.0,216,https://www.crazy11.co.kr/shopimages/winv007/001002001010.jpg?1733717976,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=806485&xcode=257&mcode=003&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=bGx3U10%3D,모나르시다,mizuno,monarcida,모나르시다, MF, DF,,comfortable
미즈노 모나르시다 네오 셀렉트 III MD 와이드 ,99000,79000,"인조가죽, 합성가죽","천연잔디, 인조잔디, 맨땅",2.0,4.0,210,https://www.crazy11.co.kr/shopimages/winv007/001002001052.jpg?1733717887,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808664&xcode=257&mcode=003&scode=002&type=Y&sort=order&cur_code=257&search=&GfDT=bWl3Ul0%3D,모나르시다,mizuno,monarcida,모나르시다, MF, DF,,comfortable
미즈노 모렐리아 II JP  ,279000,225000,"캥거루, 인조가죽","천연잔디, 인조잔디, 맨땅",2.0,3.0,202,https://www.crazy11.co.kr/shopimages/winv007/001002001063.jpg?1738714290,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809378&xcode=257&mcode=003&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bmt7W15H,모렐리아,mizuno,morelia,모렐리아,MF, DF, FW,speed
미즈노 모렐리아 II 엘리트 MD ,219000,175000,"캥거루, 인조가죽","천연잔디, 인조잔디, 맨땅",3.0,2.0,238,https://www.crazy11.co.kr/shopimages/winv007/001002001039.jpg?1733717924,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808157&xcode=257&mcode=003&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bm17W11B,모렐리아,mizuno,morelia,모렐리아,MF, DF, FW,speed
미즈노 모렐리아 II 클럽 MD,99000,77000,인조가죽,"천연잔디, 인조잔디",3.0,1.0,208,https://www.crazy11.co.kr/shopimages/winv007/001002001061.jpg?1736150019,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809137&xcode=257&mcode=003&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bmt5W1s%3D,모렐리아,mizuno,morelia,모렐리아,MF, DF, FW,speed
미즈노 모렐리아 II 클럽 MD ,99000,75000,인조가죽,"천연잔디, 인조잔디",3.0,1.0,208,https://www.crazy11.co.kr/shopimages/winv007/001002001065.jpg?1738713973,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809381&xcode=257&mcode=003&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bmp%2FW15C,모렐리아,mizuno,morelia,모렐리아,MF, DF, FW,speed
미즈노 모렐리아 II 프로 MD,179000,129000,"캥거루, 인조가죽","천연잔디, 인조잔디",2.0,2.0,,https://www.crazy11.co.kr/shopimages/winv007/001002001066.jpg?1738735419,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809404&xcode=257&mcode=003&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bml1W15B,모렐리아,mizuno,morelia,모렐리아,MF, DF, FW,speed
미즈노 모렐리아 II 프로 MD ,179000,139000,"캥거루, 인조가죽","천연잔디, 인조잔디",2.0,2.0,227,https://www.crazy11.co.kr/shopimages/winv007/001002001040.jpg?1733717914,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808158&xcode=257&mcode=003&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=a2V8VQ%3D%3D,모렐리아,mizuno,morelia,모렐리아,MF, DF, FW,speed
미즈노 모렐리아 네오 IV JP  ,309000,253000,"캥거루, 인조가죽","천연잔디, 인조잔디, 맨땅",2.0,3.0,192,https://www.crazy11.co.kr/shopimages/winv007/001002001050.jpg?1733717886,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808662&xcode=257&mcode=003&scode=003&type=Y&sort=order&cur_code=257&search=&GfDT=amh3Ul8%3D,모렐리아 네오,mizuno,morelia neo,모렐리아 네오,MF, FW, DF,speed
미즈노 모렐리아 네오 IV JP MD  ,309000,254000,"캥거루, 인조가죽","천연잔디, 인조잔디, 맨땅",2.0,3.0,192,https://www.crazy11.co.kr/shopimages/winv007/001002001056.jpg?1736144932,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809110&xcode=257&mcode=003&scode=003&type=Y&sort=order&cur_code=257&search=&GfDT=bWt3UF4%3D,모렐리아 네오,mizuno,morelia neo,모렐리아 네오,MF, FW, DF,speed
